headline,url,time,summary,tags
三河市公安局“警徽改色”再引质疑，官方拒绝回应,https://news.sina.com.cn/c/2025-04-15/doc-inetftfs8373944.shtml,2025-04-15 15:08:57,三河市公安局“警徽改色”再引质疑，官方拒绝回应顶端新闻首席记者张恒继三河市商户招牌“变色”后，三河市公安局悬挂使用的多个警徽，被质疑“更改警徽标准颜色”，再次引,
A股收评：沪指微涨0.15%，两市成交额缩量至1.07万亿，纺织服装等消费板块走强,https://news.sina.com.cn/c/2025-04-15/doc-inetftfs8370587.shtml,2025-04-15 15:03:57,4月15日，截至收盘，上证指数涨0.15%，深证成指跌0.27%，创业板指跌0.13%；北证50跌0.34%。两市成交额约10771.94亿元，较前一个交易日缩,
《求是》杂志发表习近平总书记重要文章《加快建设文化强国》,https://news.sina.com.cn/c/2025-04-15/doc-inetftfu7806865.shtml,2025-04-15 14:59:57,4月16日出版的第8期《求是》杂志将发表中共中央总书记、国家主席、中央军委主席习近平的重要文章《加快建设文化强国》。,
纪法百科·一图读懂应知应会党纪法规《中国共产党基层组织选举工作条例》,https://news.sina.com.cn/c/2025-04-15/doc-inetftfs8363058.shtml,2025-04-15 14:41:57,来源：中央纪委国家监委网站,中央纪委
助力支小支农 政府性融资担保“大显身手”,https://news.sina.com.cn/c/2025-04-15/doc-inetftfs8373687.shtml,2025-04-15 14:06:00,“无土地厂房抵押一直是制约我们获得贷款的瓶颈，通过辽担集群速易贷这一融资担保产品，我们获得了500万元贷款，有效缓解了企业的资金压力。,
外企持续参展消博会彰显中国市场强大吸引力,https://news.sina.com.cn/c/2025-04-15/doc-inetftfy1141472.shtml,2025-04-15 14:04:00,“中国国际消费品博览会为拉普瑞斯带来了前所未有的活力，帮助我们快速打通了中国市场通路。”瑞士护肤品牌拉普瑞斯销售总监徐英俊分享了在第五届消博会上的收获。,消博会
三问三河广告牌“禁色令”通报,https://news.sina.com.cn/c/2025-04-15/doc-inetftfw4362601.shtml,2025-04-15 14:03:00,4月15日，河北省廊坊市联合调查组发布通报，针对三河市“广告牌匾禁用红蓝黑底色”一事展开调查。经初步核实，媒体所曝光的问题基本属实。目前，三河市委主要负责人已被,
从“底薪功德”到“吃苦当补”，赖清德民调再翻车,https://news.sina.com.cn/c/2025-04-15/doc-inetfnxu8475976.shtml,2025-04-15 13:32:00,中新网4月15日电(燕新台)台湾地区领导人办公室日前在向岛内媒体提供赖清德在某活动的致辞视频时，偷偷删除其“要台湾人吃苦当吃补”的言论内容...,
夏宝龙“硬刚”万斯：让美国那些“乡巴佬们”在中华民族五千年文明面前去哀鸣吧,https://news.sina.com.cn/c/2025-04-15/doc-inetfhrv4238761.shtml,2025-04-15 11:50:00,来源：直新闻 4月15日，中央港澳工作办公室主任、国务院港澳事务办公室主任夏宝龙在香港特别行政区2025年“全民国家安全教育日”开幕典礼上的致辞中“硬刚”万斯：美国一而再...,
习近平瞻仰胡志明陵并敬献花圈,https://news.sina.com.cn/c/xl/2025-04-15/doc-inetfhrv4238215.shtml,2025-04-15 11:48:00,4月15日上午，在越共中央总书记苏林陪同下，中共中央总书记、国家主席习近平瞻仰胡志明陵并敬献花圈。,
A股午评：上证指数跌0.07%，深证成指跌0.43%，谷子经济领涨，华为欧拉概念走弱,https://news.sina.com.cn/c/2025-04-15/doc-inetfhrt7456764.shtml,2025-04-15 11:34:00,4月15日，截至午间收盘，上证指数跌0.07%，深证成指跌0.43%，创业板指跌0.29%；北证50涨0.45%。沪深两市成交额约6875.05亿元，较前一个交易日缩量约1512.7亿元。,
美财长访问阿根廷期间恶意污蔑抹黑中国，我使馆严正声明,https://news.sina.com.cn/c/2025-04-15/doc-inetfhrt7449799.shtml,2025-04-15 11:15:00,中国驻阿根廷使馆发言人谈话 美国财政部长贝森特14日访问阿根廷期间，恶意污蔑抹黑中国同其他国家开展正常合作，中国驻阿根廷使馆对此强烈不满、坚决反对...,
国家部委张某，主动投靠境外间谍机关，案发时企图携密叛逃,https://news.sina.com.cn/c/2025-04-15/doc-inetfhrv4244195.shtml,2025-04-15 11:11:00,案发时，她累计窃取的内部文件资料已近30万份...... 4月15日，在第十个全民国家安全教育日之际，国家安全部披露一起重大间谍案。,
图解“总体国家安全观”,https://news.sina.com.cn/c/2025-04-15/doc-inetfhry7993220.shtml,2025-04-15 10:50:00,,
疑被激活操作系统后门 美国特工对亚冬会网攻窃密内情披露,https://news.sina.com.cn/c/2025-04-15/doc-inetfhrv4206303.shtml,2025-04-15 10:49:00,记者今天（15日）从哈尔滨市公安局了解到，2025年哈尔滨第九届亚冬会期间，赛事信息系统及黑龙江省内关键信息基础设施遭境外网络攻击。,
2025乒乓球澳门世界杯女单小组赛：陈幸同3-1战胜李恩惠,https://news.sina.com.cn/c/2025-04-15/doc-inetfhrt7427283.shtml,2025-04-15 10:47:00,来源：ITTF国际乒联  2025乒乓球澳门世界杯 女子小组赛第二日 陈幸同（CHN）3-1李恩惠（KOR）[9-11，11-2，11-5，11-8] 第三轮陈幸同将和温特争夺小组出线权。,
51个！第二批“非遗工坊典型案例”名单来了,https://news.sina.com.cn/c/2025-04-15/doc-inetfhry7978147.shtml,2025-04-15 10:23:00,来源：央视网央视网消息：据文化和旅游部网站消息，根据《文化和旅游部办公厅 人力资源社会保障部办公厅 农业农村部办公厅关于推荐第二批“非遗工坊典型案例”的通知》安排...,"文化和旅游部,农业农村部"
泄露工作秘密、大搞权钱交易，“内鬼”陈笑波被决定逮捕,https://news.sina.com.cn/c/2025-04-15/doc-inetfaix4303095.shtml,2025-04-15 10:00:00,正义网记者4月15日从最高人民检察院获悉，海南省纪委原副书记、省监委原副主任陈笑波涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。,
钦州：强监督转作风推动办好民生实事,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8072217.shtml,2025-04-15 09:25:00,“没想到我们反映的问题那么快就能得到解决，现在不用绕弯路过去了，通行很方便。”不久前，灵山县纪委监委就文利镇谷埠村和浦北县大成镇较车村跨河工作桥梁修建情况进行“回...,钦州市
世博“竹简”话中国,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8636708.shtml,2025-04-15 09:25:00,2025年大阪世博会中国馆。图片来源：视觉中国4月13日，在日本大阪，参观者在中国馆的纪念品商店内选购。新华社记者 贾浩成 摄 4月13日...,建筑
懿德茂行 可以励俗,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8072035.shtml,2025-04-15 09:25:00,好作风的形成，有多种因素，为官者的品行引领、道德示范至关重要。 唐宋八大家之一的韩愈在《祭薛中丞文》写道：“公之懿德茂行，可以励俗；清文敏识，足以发身。,延安市
中老铁路国际旅客列车开行两周年,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8634425.shtml,2025-04-15 09:19:00,4月13日，中老铁路国际旅客列车迎来开行两周年，跨境运输“量质齐升”。这趟由中国中车“复兴号”“澜沧号”担当，连接中国昆明和老挝万象的国际旅客列车...,"旅客,列车,老挝"
"讲求科学方法 提升改革质效

四川多措并举深化国资国企改革",https://news.sina.com.cn/c/2025-04-15/doc-inetfaix4282151.shtml,2025-04-15 09:11:00,四川国资国企始终用科学的方法指导和推进改革，全力以赴推动国有企业改革深化提升行动各项任务落实落地，取得阶段性成果。截至2024年11月底，改革任务完成进度约80%...,
夏宝龙：以高水平安全护航高质量发展 不断谱写“一国两制”实践新篇章,https://news.sina.com.cn/c/2025-04-15/doc-inetfhry7975741.shtml,2025-04-15 09:03:00,以高水平安全护航高质量发展不断谱写“一国两制”实践新篇章——在香港特别行政区2025年“全民国家安全教育日”开幕典礼上的致辞（2025年4月15日）夏宝龙香港特,
针对恶意虚假摆拍等4类短视频营销乱象 网信办出手整治,https://news.sina.com.cn/c/2025-04-15/doc-inetfaix4282357.shtml,2025-04-15 09:01:00,为进一步深化短视频恶意营销问题治理，营造清朗网络空间，中央网信办自4月15日起，开展为期3个月的“清朗·整治短视频领域恶意营销乱象”专项行动。,
悬赏通缉！3名美国特工对亚冬会实施网攻窃密被锁定,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiv7504171.shtml,2025-04-15 09:00:00,前期，“2025年哈尔滨第九届亚冬会”（以下简称：亚冬会）遭受境外网络攻击事件经媒体报道后，引发全球主流媒体和网民的广泛关注，国家计算机病毒应急处理中心和亚冬会赛事网...,
哈尔滨市公安局公开通缉3名美国国家安全局（NSA）特工,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8628874.shtml,2025-04-15 08:59:00,记者15日从哈尔滨市公安局了解到，为依法严厉打击境外势力对我网络攻击窃密犯罪，切实维护国家网络空间安全和人民生命财产安全，哈尔滨市公安局决定对3名隶属于美国国家安...,
中国石油各地储气库注气工作全面启动,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8620318.shtml,2025-04-15 08:54:00,春回大地，大地吐纳新绿，深藏地下的储气库正悄然积蓄能量，供暖季的余温散去时，储气库也开始未雨绸缪抓紧“囤货”，通过季节性调峰，确保供气充足稳定。,"天然气,中国石油"
中国建材打造材料“绿色出海”新标杆,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8620280.shtml,2025-04-15 08:54:00,作为非金属材料制造商和投资商，入春以来，中国建材积极响应共建“一带一路”倡议，推进“海外再造”战略落地，以全球化视野布局海外市场，服务基础设施建设...,"中国建材,法国"
中国东航全力以赴应对罕见大风天气,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8620236.shtml,2025-04-15 08:54:00,4月12日，受罕见大风天气影响，我国东北、西北、华北等多地遭遇强风大雨天气。中国东航第一时间启动运行保障机制，实时关注天气变化，加强综合研判，科学决策...,"大风,航班"
我国西煤东运第二大通道累计煤炭运量突破50亿吨,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8055622.shtml,2025-04-15 08:54:00,近日，我国西煤东运第二大通道——国家能源集团朔黄铁路累计完成煤炭运量500008.7万吨，突破50亿吨大关。重载列车行驶在朔黄线上自2000年开通运营以来...,煤炭
社融增量超15万亿元！金融“活水”激发经济活力,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8070851.shtml,2025-04-15 08:53:00,金融是经济的镜像，反映着实体经济的需求。13日中国人民银行发布了主要金融数据，首季社会融资规模增量超15万亿元、新增贷款9.78万亿元...,"实体经济,社融,中国人民银行"
补水满足1520万人全年用水量！三峡水库再发力,https://news.sina.com.cn/c/2025-04-15/doc-inetfaix4275079.shtml,2025-04-15 08:49:00,按照水利部长江委调度指令要求，4月8日起，三峡水库日均出库流量加大至10000立方米每秒左右，以有效应对春灌用水高峰期，改善长江中游沿线及洞庭湖四口水系地区...,"三峡水库,水利部"
香港特区政府回应媒体询问英国议员被拒入境香港：入境处会按照相关法律和政策处理个案,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiy8618774.shtml,2025-04-15 08:44:00,[环球网报道]据香港特别行政区（特区）政府4月14日发布的新闻公报，香港特区政府14日发表声明，就传媒询问日前有英国国会议员被拒入境香港一事，特区政府发言人表示...,"香港,环球网,英国"
广西钦州严查群众身边蝇贪蚁腐 系统纠治渔业补贴领域顽疾,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8046177.shtml,2025-04-15 08:25:00,广西壮族自治区钦州市纪检监察干部近日来到钦南区龙门港镇渔民家中，对渔业资源养护补贴发放情况进行监督回访。 此前，钦州市纪委监委在监督检查中发现部分地方存在海洋渔...,"渔业,钦州市,补贴"
群音汇-广西纪检监察网,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8046237.shtml,2025-04-15 08:17:00,二十届中央纪委四次全会强调，健全不正之风和腐败问题同查同治机制。各级纪检监察机关坚决落实全会部署要求，深刻认识风腐一体问题的严重危害性...,"同治,广西,纪检监察"
善用历史开展国家安全教育,https://news.sina.com.cn/c/2025-04-15/doc-inetfaiv7490924.shtml,2025-04-15 07:57:00,到山东威海，除了看海，还要“看史”。漫步总体国家安全观刘公岛教育培训基地，登上炮台遗址，了解威海卫保卫战、刘公岛保卫战历史;体验数字化战争场景...,总体国家安全观
江苏利用展会平台资源开拓深耕新兴市场,https://news.sina.com.cn/c/2025-04-15/doc-inetevzx7616621.shtml,2025-04-15 07:33:00,当前，世界百年变局加速演进。国际形势越是变乱交织，越是需要葆有信心、保持定力、坚定底气，集中精力办好自己的事，坚定不移推进高水平对外开放。,江苏省
今天北京天气晴晒最高温可达31℃ 或创今年来气温新高,https://news.sina.com.cn/c/2025-04-15/doc-inetfaka8056915.shtml,2025-04-15 07:30:00,来源：央视网央视网消息：据中国天气网消息，北京今天（4月15日）晴转多云，最高气温可达31℃，或创今年来气温新高，天气晴晒，公众请注意补水防晒。,"气温,北京市,最高气温"
坚持严惩暴恐不动摇！中央政法委书记再赴新疆调研,https://news.sina.com.cn/c/2025-04-15/doc-inetevzz4391508.shtml,2025-04-15 07:16:00,来源：北京青年报 4月10日至13日，中共中央政治局委员、中央政法委书记陈文清在新疆调研。 “今年是新疆维吾尔自治区成立70周年，反分裂反恐怖任务十分繁重。,
护好乡村振兴资金,https://news.sina.com.cn/c/2025-04-15/doc-inetevzx7610928.shtml,2025-04-15 07:02:00,“高粱种植保险理赔更透明了，农户种粮也更放心了。”近日，四川省泸州市江阳区纪检监察干部来到通滩镇卢坪村吉丰高粱专业合作社开展回访，了解到巡察反馈问题已整改到位...,乡村振兴
天祝：靶向监督 为乡村振兴注入阳光“伏利”,https://news.sina.com.cn/c/2025-04-15/doc-inetewae8160284.shtml,2025-04-15 06:54:00,“违规发放的6600元光伏产业收益资金，我们已经退回给村股份经济合作社了。”近日，武威市天祝县纪委监委回访时，哈溪镇茶岗村党支部书记严某某说。,农业农村
定西：开启纪法精兵培养“精准滴灌”新模式,https://news.sina.com.cn/c/2025-04-15/doc-inetewaa8724774.shtml,2025-04-15 06:54:00,近日，定西市纪委监委举办全市乡镇基层纪检监察干部能力提升示范培训班。这是该市今年以来举办的第三期专题培训班，160名乡镇纪检监察干部参加。,"纪检监察,定西市"
英国将从中企手中接管英钢，中方发声了,https://news.sina.com.cn/c/2025-04-15/doc-inetewaa8724185.shtml,2025-04-15 06:48:00,[环球时报驻英国特约记者纪双城]英国议会12日通过紧急法案，赋予政府部门控制一家由中资公司拥有的英国钢铁厂的权力，并保证该工厂继续运营。,"英国,雷诺兹,中国"
大国外交最前线丨从越共中央驻地密集的双边活动中 感受中越命运共同体的世界意义,https://news.sina.com.cn/c/xl/2025-04-15/doc-inetemnf4597625.shtml,2025-04-15 01:22:00,当地时间4月14日下午，中共中央总书记、国家主席习近平在越共中央驻地同越共中央总书记苏林举行会谈，会见越南总理范明政、国会主席陈青敏。,
习近平会见越南国会主席陈青敏,https://news.sina.com.cn/c/xl/2025-04-15/doc-inetemnh8951256.shtml,2025-04-15 01:19:00,新华社河内4月14日电（记者宿亮 赵旭）4月14日晚，国家主席习近平在越共中央驻地会见越南国会主席陈青敏。 习近平指出，再次对越南进行国事访问...,
习近平同越共中央总书记苏林举行会谈,https://news.sina.com.cn/c/xl/2025-04-14/doc-inetefen8489125.shtml,2025-04-15 01:05:00,4月14日下午，中共中央总书记、国家主席习近平在越共中央驻地同越共中央总书记苏林举行会谈。 习近平指出，很高兴对越南进行国事访问，实现同苏林总书记的首轮互访。,"习近平,越南,苏林"
青海玉树州杂多县发生3.3级地震 震源深度10千米,https://news.sina.com.cn/c/2025-04-15/doc-inetefek9075464.shtml,2025-04-15 00:27:00,中国地震台网正式测定：4月15日0时18分在青海玉树州杂多县（北纬32.53度，东经93.48度）发生3.3级地震，震源深度10千米。,"青海省,地震,震源深度"
习近平会见越南总理范明政,https://news.sina.com.cn/c/xl/2025-04-14/doc-inetefek9066358.shtml,2025-04-14 23:54:00,新华社河内4月14日电（记者韩墨 刘锴）4月14日晚，国家主席习近平在越共中央驻地会见越南总理范明政。 习近平指出，在越南党和政府领导下，越南政治社会稳定...,
越共中央总书记苏林为习近平举行欢迎仪式,https://news.sina.com.cn/c/xl/2025-04-14/doc-inetefef7932814.shtml,2025-04-14 23:52:00,4月14日，中共中央总书记、国家主席习近平抵达河内对越南进行国事访问。当日下午，越共中央总书记苏林为习近平举行隆重欢迎仪式。,
开年以来首场！国家副主席南下出席重要活动,https://news.sina.com.cn/c/xl/2025-04-14/doc-inetefen8500632.shtml,2025-04-14 23:46:00,来源：北京青年报 撰文丨余晖 高语阳 4月13日，第五届中国国际消费品博览会、“购在中国”系列活动启动仪式在海口举行。国家副主席韩正和有关国家领导人...,
习近平同越共中央总书记苏林举行会谈,https://news.sina.com.cn/c/xl/2025-04-14/doc-inetefek9058335.shtml,2025-04-14 23:22:00,新华社河内4月14日电（记者倪四义 张崇防）4月14日下午，中共中央总书记、国家主席习近平在越共中央驻地同越共中央总书记苏林举行会谈。,
中部经济大省，亟待打通“任督二脉”,https://news.sina.com.cn/c/2025-04-14/doc-inetefek9054052.shtml,2025-04-14 23:03:00,每经记者 程晓玲  4月14日，海关总署副署长王令浚在国新办新闻发布会上介绍，今年一季度，中西部地区进出口1.84万亿元，增长8.7%，增速比全国整体增速高7.4个百分点...,"湖南省,长江,安徽省"
习近平同越共中央总书记苏林会谈,https://news.sina.com.cn/c/2025-04-14/doc-inetcywq8616203.shtml,2025-04-14 22:40:00,习近平同越共中央总书记苏林会谈：要增强战略定力，共同反对单边霸凌行径，维护全球自由贸易体制和产业链供应链稳定。（新华社）,
